Grapheme,Color,ANSI
a,gold_1,220
b,dark_slate_gray_1,123
c,red_3b,160
d,light_pink_4,95
e,green_3a,34
f,yellow_1,226
g,orange_4b,94
h,white,15
i,grey_11,234
j,dark_red_1,52
k,orange_1,214
l,grey_66,248
m,grey_3,232
n,grey_30,239
o,black,0
p,red,1
q,grey_37,59
r,orange_3,172
s,red_1,196
t,orange_1,214
u,sandy_brown,215
v,grey_93,255
w,grey_0,16
x,light_goldenrod_2c,222
y,light_gray,7
z,dark_red_2,88
1,black,0
2,dark_red_2,88
3,light_yellow,11
4,orange_red_1,202
5,dark_red_1,52
6,green,2
7,dark_green,22
8,plum_1,219
9,deep_pink_1a,198
0,white,15
A,gold_1,220
B,dark_slate_gray_1,123
C,red_3b,160
D,light_pink_4,95
E,green_3a,34
F,yellow_1,226
G,orange_4b,94
H,white,15
I,grey_11,234
J,dark_red_1,52
K,orange_1,214
L,grey_66,248
M,grey_3,232
N,grey_30,239
O,black,0
P,red,1
Q,grey_37,59
R,orange_3,172
S,red_1,196
T,orange_1,214
U,sandy_brown,215
V,grey_93,255
W,grey_0,16
X,light_goldenrod_2c,222
Y,light_gray,7
Z,dark_red_2,88
.,black,0
",",dark_red_2,88
?,dark_red_1,52
!,black,0
(,grey_19,236
),grey_19,236
,grey_54,245
"""",deep_sky_blue_4a ,23
